,msg,hash,date_rel,date_abs
0,langchain-core==1.0.2 langchain-core==1.0.2,on,29,2025-11-29
1,langchain==1.0.3 langchain==1.0.3,on,29,2025-11-29
2,langchain-anthropic==1.0.1 langchain-anthropic==1.0.1,on,30,2025-11-29
3,langchain-model-profiles==0.0.1 langchain-model-profiles==0.0.1,last,,2025-11-29
4,langchain-model-profiles==0.0.2 langchain-model-profiles==0.0.2,last,,2025-11-29
5,langchain-openai==1.0.2 langchain-openai==1.0.2,last,,2025-11-29
6,langchain-core==1.0.3 langchain-core==1.0.3,last,,2025-11-29
7,langchain-tests==1.0.1 langchain-tests==1.0.1,last,,2025-11-29
8,langchain-model-profiles==0.0.3 langchain-model-profiles==0.0.3,last,,2025-11-29
9,langchain-huggingface==1.0.1 langchain-huggingface==1.0.1,last,,2025-11-29
10,langchain==1.0.4 langchain==1.0.4,3,ago,2025-11-29
11,langchain-anthropic==1.0.2 langchain-anthropic==1.0.2,3,ago,2025-11-29
12,langchain-core==1.0.4 langchain-core==1.0.4,3,ago,2025-11-29
13,langchain==1.0.5 langchain==1.0.5,3,ago,2025-11-29
14,langchain-model-profiles==0.0.4 langchain-model-profiles==0.0.4,3,ago,2025-11-29
15,langchain-anthropic==1.0.3 langchain-anthropic==1.0.3,2,ago,2025-11-29
16,langchain-nomic==1.0.1 langchain-nomic==1.0.1,2,ago,2025-11-29
17,langchain-deepseek==1.0.1 langchain-deepseek==1.0.1,2,ago,2025-11-29
18,langchain-groq==1.0.1 langchain-groq==1.0.1,2,ago,2025-11-29
19,langchain-core==1.0.5 langchain-core==1.0.5,2,ago,2025-11-29
20,langchain==1.0.6 langchain==1.0.6,2,ago,2025-11-29
21,langchain-anthropic==1.0.4 langchain-anthropic==1.0.4,2,ago,2025-11-29
22,langchain==1.0.7 langchain==1.0.7,2,ago,2025-11-29
23,langchain-openai==1.0.3 langchain-openai==1.0.3,2,ago,2025-11-29
24,langchain-anthropic==1.1.0 langchain-anthropic==1.1.0,2,ago,2025-11-29
25,langchain-core==1.0.6 langchain-core==1.0.6,last,,2025-11-29
26,langchain==1.0.8 langchain==1.0.8,last,,2025-11-29
27,langchain-core==1.0.7 langchain-core==1.0.7,last,,2025-11-29
28,langchain-core==0.3.80 langchain-core==0.3.80,last,,2025-11-29
29,langchain-core==1.1.0 langchain-core==1.1.0,last,,2025-11-29
30,langchain-model-profiles==0.0.5 langchain-model-profiles==0.0.5,last,,2025-11-29
31,langchain-tests==1.0.2 langchain-tests==1.0.2,last,,2025-11-29
32,langchain-fireworks==1.1.0 langchain-fireworks==1.1.0,5,ago,2025-11-29
33,langchain-anthropic==1.2.0 langchain-anthropic==1.2.0,5,ago,2025-11-29
34,langchain-huggingface==1.1.0 langchain-huggingface==1.1.0,5,ago,2025-11-29
35,langchain-mistralai==1.1.0 langchain-mistralai==1.1.0,5,ago,2025-11-29
36,langchain-openai==1.1.0 langchain-openai==1.1.0,5,ago,2025-11-29
37,langchain-groq==1.1.0 langchain-groq==1.1.0,5,ago,2025-11-29
38,langchain-perplexity==1.1.0 langchain-perplexity==1.1.0,5,ago,2025-11-29
39,langchain-xai==1.1.0 langchain-xai==1.1.0,5,ago,2025-11-29
40,langchain==1.1.0 langchain==1.1.0,5,ago,2025-11-29
