,msg,hash,date_rel,date_abs
0,"docs(core): update docstrings in `RunnableConfig`, `dereference_refs`",#34131,2 days ago,2025-11-27
1,"chore(infra): update agent files, remove top-level pyproject",#34128,2 days ago,2025-11-27
2,fix(model-profiles): update docs link,#34127,2 days ago,2025-11-27
3,chore(infra): updated allowed scopes in PR lint configuration,#34115,3 days ago,2025-11-26
4,"docs(anthropic,core,langchain): updates",#34106,4 days ago,2025-11-25
5,"style(core,langchain,qdrant): fix some docstrings for refs",#34105,4 days ago,2025-11-25
6,"chore(infra): update PR template, agent files",#34104,4 days ago,2025-11-25
7,chore(deps): bump actions/checkout from 5 to 6,#34083,5 days ago,2025-11-24
8,fix(core): handle missing `StructuredPrompt` schema,#34096,5 days ago,2025-11-24
9,release(langchain): 1.1,#34090,5 days ago,2025-11-24
10,release: (integration packages): 1.1,#34088,5 days ago,2025-11-24
11,feat(langchain): support `SystemMessage` in `create_agent`'s `system_prompt`,#34055,5 days ago,2025-11-24
12,release: (integration packages) 1.1,#34087,5 days ago,2025-11-24
13,release(fireworks): 1.1,#34086,5 days ago,2025-11-24
14,fix(core): `ensure_ascii=False` in `PydanticOutputParser` exception formatting,#34006,last week,2025-11-22
15,fix(openai): make GPT-5 temperature validation case-insensitive,#34012,last week,2025-11-22
16,chore(infra): bump actions/github-script from 6 to 8,#33991,last week,2025-11-22
17,"fix(infra,core): nits",#34079,last week,2025-11-22
18,fix(core): Decouple provider prefix from model name in init_chat_mode…,#34046,last week,2025-11-22
19,"style(core,langchain-classic,openai): fix griffe warnings",#34074,last week,2025-11-22
20,release(standard-tests): 1.0.2,#34071,last week,2025-11-22
21,chore(fireworks): update tested models,#34070,last week,2025-11-22
22,fix: don't reorder tool calls in HITL middleware,#34023,last week,2025-11-22
23,chore(docs): fix a few refs syntax errors,#34044,last week,2025-11-22
24,release(model-profiles): 0.0.5,#34064,last week,2025-11-22
25,release(core): 1.1.0,#34063,last week,2025-11-22
26,feat(model-profiles): distribute data across packages,#34024,last week,2025-11-22
27,feat(model-profiles): convert to auto-generated .py files,#34062,last week,2025-11-22
28,chore: add more robust test for runtime injection w/ explicit `args_schema`,#34051,last week,2025-11-22
29,feat: `ModelRetryMiddleware`,#34027,last week,2025-11-22
30,chore(infra): properly disable testing for 0.3 against latest packages,#34041,last week,2025-11-22
31,chore(infra): disable integration tests temporarily when releasing v0.3,#34040,last week,2025-11-22
32,release(core): 0.3.80,#34039,last week,2025-11-22
33,"fix(core): fix validation for input variables in f-string templates, restrict functionality supported by jinja2, mustache templates",#34038,last week,2025-11-22
34,release(core): 1.0.7,#34036,last week,2025-11-22
35,"fix(core): fix validation for input variables in f-string templates, restrict functionality supported by jinja2, mustache templates (GHSA-6qv9-48xg-fc7f)",#34035,last week,2025-11-22
36,fix: deprecate `setattr` on `ModelCallRequest`,#34022,last week,2025-11-22
37,chore(openai): skip Azure text completions tests,#34021,last week,2025-11-22
38,release: langchain 1.0.8,#34019,last week,2025-11-22
